date,state,fips,cases,deaths
2020-01-31,Arizona,4,1,0
2020-01-31,California,6,3,0
2020-01-31,Illinois,17,2,0
2020-01-31,Washington,53,1,0
2020-02-29,Arizona,4,1,0
2020-02-29,California,6,28,0
2020-02-29,Illinois,17,3,0
2020-02-29,Massachusetts,25,1,0
2020-02-29,Nebraska,31,13,0
2020-02-29,Oregon,41,1,0
2020-02-29,Texas,48,11,0
2020-02-29,Utah,49,1,0
2020-02-29,Washington,53,10,1
2020-02-29,Wisconsin,55,1,0
2020-03-31,Alabama,1,999,14
2020-03-31,Alaska,2,133,2
2020-03-31,Arizona,4,1298,24
2020-03-31,Arkansas,5,564,8
2020-03-31,California,6,8583,184
2020-03-31,Colorado,8,2990,69
2020-03-31,Connecticut,9,3128,69
2020-03-31,Delaware,10,319,10
2020-03-31,District of Columbia,11,495,9
2020-03-31,Florida,12,6742,85
2020-03-31,Georgia,13,4116,126
2020-03-31,Guam,66,139,2
2020-03-31,Hawaii,15,224,1
2020-03-31,Idaho,16,526,9
2020-03-31,Illinois,17,5992,107
2020-03-31,Indiana,18,2177,61
2020-03-31,Iowa,19,498,7
2020-03-31,Kansas,20,435,10
2020-03-31,Kentucky,21,590,18
2020-03-31,Louisiana,22,5237,240
2020-03-31,Maine,23,303,5
2020-03-31,Maryland,24,1662,18
2020-03-31,Massachusetts,25,6620,89
2020-03-31,Michigan,26,7629,264
2020-03-31,Minnesota,27,629,12
2020-03-31,Mississippi,28,937,20
2020-03-31,Missouri,29,1350,15
2020-03-31,Montana,30,198,5
2020-03-31,Nebraska,31,199,4
2020-03-31,Nevada,32,1113,26
2020-03-31,New Hampshire,33,367,3
2020-03-31,New Jersey,34,18696,267
2020-03-31,New Mexico,35,315,5
2020-03-31,New York,36,76211,1929
2020-03-31,North Carolina,37,1527,10
2020-03-31,North Dakota,38,126,3
2020-03-31,Northern Mariana Islands,69,2,0
2020-03-31,Ohio,39,2199,55
2020-03-31,Oklahoma,40,566,23
2020-03-31,Oregon,41,690,18
2020-03-31,Pennsylvania,42,4997,72
2020-03-31,Puerto Rico,72,239,8
2020-03-31,Rhode Island,44,488,8
2020-03-31,South Carolina,45,1083,22
2020-03-31,South Dakota,46,107,1
2020-03-31,Tennessee,47,2049,13
2020-03-31,Texas,48,3588,57
2020-03-31,Utah,49,887,5
2020-03-31,Vermont,50,293,13
2020-03-31,Virgin Islands,78,30,0
2020-03-31,Virginia,51,1249,27
2020-03-31,Washington,53,5293,226
2020-03-31,West Virginia,54,162,1
2020-03-31,Wisconsin,55,1351,25
2020-03-31,Wyoming,56,121,0
2020-04-30,Alabama,1,7068,272
2020-04-30,Alaska,2,353,7
2020-04-30,Arizona,4,7648,320
2020-04-30,Arkansas,5,3281,61
2020-04-30,California,6,50470,2057
2020-04-30,Colorado,8,15207,775
2020-04-30,Connecticut,9,27700,2257
2020-04-30,Delaware,10,4734,152
2020-04-30,District of Columbia,11,4323,224
2020-04-30,Florida,12,33683,1267
2020-04-30,Georgia,13,25431,1121
2020-04-30,Guam,66,1115,6
2020-04-30,Hawaii,15,609,16
2020-04-30,Idaho,16,2016,63
2020-04-30,Illinois,17,52918,2361
2020-04-30,Indiana,18,18099,1114
2020-04-30,Iowa,19,7145,162
2020-04-30,Kansas,20,4305,133
2020-04-30,Kentucky,21,4708,240
2020-04-30,Louisiana,22,28044,1905
2020-04-30,Maine,23,1095,53
2020-04-30,Maryland,24,21825,1139
2020-04-30,Massachusetts,25,62205,3562
2020-04-30,Michigan,26,41348,3788
2020-04-30,Minnesota,27,5136,343
2020-04-30,Mississippi,28,6815,261
2020-04-30,Missouri,29,7563,341
2020-04-30,Montana,30,452,16
2020-04-30,Nebraska,31,4332,70
2020-04-30,Nevada,32,5053,243
2020-04-30,New Hampshire,33,2146,72
2020-04-30,New Jersey,34,118652,7228
2020-04-30,New Mexico,35,3411,123
2020-04-30,New York,36,309696,23616
2020-04-30,North Carolina,37,10507,385
2020-04-30,North Dakota,38,1067,19
2020-04-30,Northern Mariana Islands,69,14,2
2020-04-30,Ohio,39,18027,975
2020-04-30,Oklahoma,40,3618,222
2020-04-30,Oregon,41,2510,103
2020-04-30,Pennsylvania,42,48224,2580
2020-04-30,Puerto Rico,72,1537,92
2020-04-30,Rhode Island,44,8621,266
2020-04-30,South Carolina,45,6095,244
2020-04-30,South Dakota,46,2450,17
